,站名,等級別
0,臺北,特等站
1,臺中,特等站
2,高雄,特等站
3,花蓮,特等站
4,基隆,一等站
5,七堵,一等站
6,南港,一等站
7,竹南,一等站
8,苗栗,一等站
9,豐原,一等站
10,斗六,一等站
11,嘉義,一等站
12,新營,一等站
13,瑞芳,一等站
14,宜蘭,一等站
15,蘇澳新,一等站
16,玉里,一等站
17,臺東,一等站
18,松山,一等站
19,萬華,一等站
20,板橋,一等站
21,彰化,一等站
22,員林,一等站
23,臺南,一等站
24,岡山,一等站
25,新左營,一等站
26,樹林,一等站
27,桃園,一等站
28,中壢,一等站
29,屏東,一等站
30,潮州,一等站
31,新竹,一等站
32,八堵,二等站
33,汐止,二等站
34,鶯歌,二等站
35,大甲,二等站
36,臺中港,二等站
37,沙鹿,二等站
38,斗南,二等站
39,隆田,二等站
40,善化,二等站
41,雙溪,二等站
42,羅東,二等站
43,冬山,二等站
44,和平,二等站
45,新城,二等站
46,竹東,二等站
47,新烏日,二等站
48,田中,二等站
49,二水,二等站
50,永康,二等站
51,中洲,二等站
52,楠梓,二等站
53,蘇澳,二等站
54,東澳,二等站
55,鳳山,二等站
56,山佳,三等站
57,內壢,三等站
58,埔心,三等站
59,後龍,三等站
60,白沙屯,三等站
61,通霄,三等站
62,林內,三等站
63,大林,三等站
64,民雄,三等站
65,四腳亭,三等站
66,猴硐,三等站
67,三貂嶺,三等站
68,和仁,三等站
69,崇德,三等站
70,北埔,三等站
71,楊梅,三等站
72,富岡,三等站
73,湖口,三等站
74,苑裡,三等站
75,清水,三等站
76,龍井,三等站
77,新市,三等站
78,保安,三等站
79,大湖,三等站
80,福隆,三等站
81,頭城,三等站
82,礁溪,三等站
83,花蓮港,三等站
84,吉安,三等站
85,志學,三等站
86,新豐,三等站
87,竹北,三等站
88,大肚,三等站
89,追分,三等站
90,銅鑼,三等站
91,路竹,三等站
92,橋頭,三等站
93,九曲堂,三等站
94,二結,三等站
95,永樂,三等站
96,南澳,三等站
97,壽豐,三等站
98,豐田,三等站
99,南平,三等站
100,三義,三等站
101,后里,三等站
102,潭子,三等站
103,西勢,三等站
104,南州,三等站
105,林邊,三等站
106,漢本,三等站
107,鳳林,三等站
108,萬榮,三等站
109,光復,三等站
110,成功,三等站
111,社頭,三等站
112,枋寮,三等站
113,加祿,三等站
114,枋野,三等站
115,富源,三等站
116,瑞穗,三等站
117,三民,三等站
118,東里,三等站
119,東竹,三等站
120,富里,三等站
121,池上,三等站
122,關山,三等站
123,瑞源,三等站
124,鹿野,三等站
125,山里,三等站
126,知本,三等站
127,太麻里,三等站
128,金崙,三等站
129,大武,三等站
130,三坑,簡易站
131,百福,簡易站
132,五堵,簡易站
133,大山,簡易站
134,新埔,簡易站
135,日南,簡易站
136,嘉北,簡易站
137,水上,簡易站
138,南靖,簡易站
139,貢寮,簡易站
140,大里,簡易站
141,龜山,簡易站
142,林榮新光,簡易站
143,康樂,簡易站
144,瀧溪,簡易站
145,汐科,簡易站
146,浮洲,簡易站
147,南樹林,簡易站
148,泰安,簡易站
149,栗林,簡易站
150,頭家厝,簡易站
151,後壁,簡易站
152,柳營,簡易站
153,林鳳營,簡易站
154,四城,簡易站
155,十分,簡易站
156,平溪,簡易站
157,北湖,簡易站
158,北新竹,簡易站
159,三姓橋,簡易站
160,松竹,簡易站
161,太原,簡易站
162,精武,簡易站
163,南科,簡易站
164,大橋,簡易站
165,仁德,簡易站
166,菁桐,簡易站
167,香山,簡易站
168,千甲,簡易站
169,新莊,簡易站
170,五權,簡易站
171,大慶,簡易站
172,烏日,簡易站
173,左營,簡易站
174,內惟,簡易站
175,美術館,簡易站
176,竹中,簡易站
177,九讚頭,簡易站
178,內灣,簡易站
179,花壇,簡易站
180,大村,簡易站
181,濁水,簡易站
182,鼓山,簡易站
183,三塊厝,簡易站
184,民族,簡易站
185,六家,簡易站
186,水里,簡易站
187,科工館,簡易站
188,正義,簡易站
189,長榮大學,簡易站
190,沙崙,簡易站
191,後庄,簡易站
192,竹田,簡易站
193,佳冬,簡易站
194,新富,招呼站
195,上員,招呼站
196,榮華,招呼站
197,崎頂,招呼站
198,談文,招呼站
199,龍港,招呼站
200,石榴,招呼站
201,石龜,招呼站
202,拔林,招呼站
203,暖暖,招呼站
204,牡丹,招呼站
205,石城,招呼站
206,景美,招呼站
207,平和,招呼站
208,大富,招呼站
209,橫山,招呼站
210,合興,招呼站
211,富貴,招呼站
212,造橋,招呼站
213,豐富,招呼站
214,南勢,招呼站
215,六塊厝,招呼站
216,歸來,招呼站
217,麟洛,招呼站
218,大溪,招呼站
219,外澳,招呼站
220,頂埔,招呼站
221,海端,招呼站
222,瑞和,招呼站
223,永靖,招呼站
224,源泉,招呼站
225,龍泉,招呼站
226,崁頂,招呼站
227,鎮安,招呼站
228,東海,招呼站
229,中里,招呼站
230,新馬,招呼站
231,海科館,招呼站
232,集集,招呼站
233,車埕,招呼站
234,內獅,招呼站
235,枋山,招呼站
236,八斗子,招呼站
237,大華,招呼站
238,望古,招呼站
239,嶺腳,招呼站
240,武塔,招呼站
