,進站人次,出站人次,舊版4碼代碼,新版代碼,站名,英文站名,等級別,停靠列車次,進/出,出/進
0,19619847,19438094,1008,1000,臺北,Taipei,特等站,302,1.0093503509140351,0.9907362682287991
2,6836505,6841029,1011,1020,板橋,Banqiao,一等站,301,0.9993386959768772,1.0006617416355288
32,6306946,6371885,1025,1210,新竹,Hsinchu,一等站,295,0.9898085103544713,1.0102964255600095
4,4653539,4626401,1012,1040,樹林,Shulin,一等站,258,1.0058658987839575,0.9941683093232914
74,4558063,4687483,1120,3360,彰化,Changhua,一等站,216,0.9723902998688209,1.0283936400177005
110,8236574,8371591,1228,4220,臺南,Tainan,一等站,210,0.9838720023469851,1.016392373819503
19,676731,706400,1024,1190,北新竹,North Hsinchu,簡易站,202,0.9579997168742922,1.0438416446121133
8,8740820,8997790,1015,1080,桃園,Taoyuan,一等站,193,0.9714407648989363,1.0293988435867574
127,5236839,5242306,1238,4400,高雄,Kaohsiung,特等站,191,0.9989571383280564,1.0010439503677695
121,3565550,3569685,1242,4340,新左營,Xinzuoying,一等站,191,0.9988416344859561,1.0011597088808177
135,3399888,3460511,1406,5000,屏東,Pingtung,一等站,190,0.9824814890055255,1.0178308814878607
10,8360135,8451724,1017,1100,中壢,Jhongli,一等站,188,0.9891632760369363,1.0109554450974776
131,1621338,1583640,1402,4440,鳳山,Fongshan,二等站,184,1.0238046525725544,0.9767488333709565
96,3281331,3268111,1215,4080,嘉義,Chiayi,一等站,175,1.0040451502412249,0.9959711470741598
1,1349257,1320715,1009,1010,萬華,Wanhua,一等站,170,1.0216110213028549,0.9788461353174377
68,8211184,8106311,1319,3300,臺中,Taichung,特等站,170,1.01293720411171,0.9872280294778438
36,2603512,2613966,1028,1250,竹南,Jhunan,一等站,168,0.9960007130926722,1.0040153454257172
3,882101,836257,1032,1030,浮洲,Fuzhou,簡易站,166,1.054820467870523,0.9480286271073267
140,1200213,1209257,1411,5050,潮州,Chaojhou,一等站,164,0.9925210273746606,1.0075353291457434
133,382640,394936,1404,4460,九曲堂,Jioucyutang,三等站,155,0.9688658415540746,1.0321346435291658
77,2618050,2641008,1203,3390,員林,Yuanlin,一等站,149,0.9913071069833942,1.0087691220564925
61,2543963,2663565,1317,3230,豐原,Fongyuan,一等站,146,0.9550970222239743,1.0470140485533792
7,2667864,2682266,1014,1070,鶯歌,Yingge,二等站,145,0.9946306593007554,1.005398326151558
111,488676,511716,1229,4250,保安,Baoan,三等站,144,0.9549750252092958,1.0471478034525943
113,137641,134177,1230,4270,中洲,Jhongjhou,二等站,144,1.0258166451776385,0.9748330802595156
112,285867,283035,1243,4260,仁德,Rende,簡易站,144,1.010005829667709,0.990093295133751
201,1453523,1447460,1820,7190,宜蘭,Yilan,一等站,144,1.004188716786647,0.9958287553757319
90,1979850,1983287,1210,3470,斗六,Douliou,一等站,140,0.9982670183387478,1.00173599010026
12,1638155,1580951,1019,1120,楊梅,Yangmei,三等站,139,1.0361832846179293,0.9650802274510043
199,1799326,1744343,1823,7160,羅東,Luodong,二等站,138,1.0315207502194237,0.969442446782851
16,1168383,1182946,1021,1160,湖口,Hukou,三等站,135,0.9876892098202285,1.0124642347586366
100,1696359,1703806,1220,4120,新營,Sinying,一等站,133,0.9956291972208103,1.0043899905621392
15,255449,257549,1033,1150,北湖,BaiHwu,簡易站,132,0.9918462117888247,1.0082208190284558
9,2864006,2828549,1016,1090,內壢,Neili,三等站,132,1.0125354024271809,0.9876197885060297
223,1709329,1906659,1804,7360,瑞芳,Rueifang,一等站,131,0.8965048286033318,1.1154429603663192
11,1802443,1709186,1018,1110,埔心,Pusin,三等站,128,1.05456223020783,0.9482607771785294
18,1618554,1604274,1023,1180,竹北,Jhubei,三等站,127,1.0089012226091054,0.9911773101175494
5,348074,343661,1034,1050,南樹林,South Shulin,簡易站,127,1.012841142870445,0.987321661485776
6,488075,499583,1013,1060,山佳,Shanjia,三等站,127,0.9769647886337205,1.0235783434922912
108,1006173,983747,1227,4200,永康,Yongkang,二等站,126,1.022796511704737,0.9777115863772929
80,883416,883845,1206,3420,田中,Tianjhong,二等站,125,0.9995146207762673,1.000485614931131
72,2336696,2132349,1324,3340,新烏日,Xinwuri,二等站,123,1.095831873675463,0.9125487440385912
183,4937979,4724423,1715,7000,花蓮,Hualien,特等站,123,1.0452025570106656,0.9567523474684684
81,365465,366456,1207,3430,二水,Ershuei,二等站,121,0.9972957189949134,1.0027116139712422
105,1114301,1109830,1225,4170,善化,Shanhua,二等站,121,1.0040285449122839,0.9959876191441989
70,897571,879212,1322,3320,大慶,Dacing,簡易站,121,1.0208811981638104,0.9795459077889103
55,1861916,1840141,1305,3160,苗栗,Miaoli,一等站,120,1.0118333323370328,0.9883050578006741
13,546934,554157,1020,1130,富岡,Fugang,三等站,119,0.9869657876738902,1.0132063466524297
14,23213,29442,1036,1140,新富,Xinfu,招呼站,119,0.7884314924257863,1.2683410158101065
17,1727822,1691965,1022,1170,新豐,Sinfong,三等站,119,1.0211925187577757,0.9792472835743496
71,254309,266940,1320,3330,烏日,Wurih,簡易站,114,0.9526822506930397,1.049667923667664
69,416154,434338,1329,3310,五權,Wuquan,簡易站,114,0.9581339878159406,1.0436953627743575
73,201893,312081,1321,3350,成功,Chenggong,三等站,112,0.6469249970360259,1.545774246754469
109,1136097,1086728,1239,4210,大橋,Daciao,簡易站,110,1.0454290309994774,0.9565450837384484
63,813089,796075,1318,3250,潭子,Tanzih,三等站,109,1.0213723581320855,0.9790748614235342
91,672714,670326,1211,3480,斗南,Dounan,二等站,108,1.0035624457353587,0.9964502002336802
22,212627,219062,2203,1193,竹中,Jhujhong,簡易站,108,0.9706247546356739,1.0302642655918581
138,196686,189609,1409,5030,西勢,Sishih,三等站,107,1.037324177649795,0.9640187913730515
34,177195,177137,1026,1230,香山,Siangshan,簡易站,106,1.000327430181159,0.9996726769942719
35,70632,81829,1027,1240,崎頂,Ciding,招呼站,106,0.8631658702904839,1.1585258806206817
33,341465,309884,1035,1220,三姓橋,Sanxingqiao,簡易站,106,1.101912328484207,0.9075132151172155
66,943621,939255,1323,3280,太原,Taiyuan,簡易站,104,1.0046483649275224,0.9953731423950929
118,901861,907856,1233,4310,岡山,Gangshan,一等站,103,0.993396529846143,1.006647365835755
62,186633,185691,1325,3240,栗林,Lilin,簡易站,102,1.00507294376141,0.9949526611049493
64,155274,153948,1326,3260,頭家厝,Toujiacuo,簡易站,102,1.0086132979967262,0.9914602573515205
65,321698,333978,1327,3270,松竹,Songzhu,簡易站,102,0.9632311110312656,1.0381724474507146
67,335534,343396,1328,3290,精武,Jingwu,簡易站,102,0.9771051497396591,1.023431306514392
107,801319,784926,1226,4190,新市,Sinshih,三等站,101,1.020884771303282,0.9795424793371929
106,427983,404870,1244,4180,南科,Nanke,簡易站,97,1.057087460172401,0.9459955185135858
94,647724,616517,1214,4060,民雄,Minsyong,三等站,96,1.0506182311274466,0.9518205284967054
196,301299,773391,1826,7130,蘇澳新,Suaosin,一等站,93,0.38958172515583966,2.5668555156173767
93,552148,543960,1213,4050,大林,Dalin,三等站,90,1.0150525773953967,0.9851706426537812
203,565422,573378,1818,7210,礁溪,Jiaohsi,三等站,88,0.9861243368249217,1.0140709063319078
122,251241,256117,1236,4350,左營,Zuoying,簡易站,87,0.9809618260404425,1.019407660373904
124,272727,264030,1246,4370,美術館,Museum of Fine Arts,簡易站,87,1.0329394387001478,0.9681109681109681
125,62746,64894,1237,4380,鼓山,Gushan,簡易站,87,0.9668998674761919,1.0342332578969178
126,132471,139673,1247,4390,三塊厝,Sankuaicuo,簡易站,87,0.9484367057341075,1.0543666160895593
123,206993,206852,1245,4360,內惟,Neiwei,簡易站,87,1.0006816467812736,0.9993188175445546
46,832414,833000,1112,2200,大甲,Dajia,二等站,87,0.999296518607443,1.000703976627015
134,43970,48052,1405,4470,六塊厝,Lioukuaicuo,招呼站,86,0.9150503621077166,1.0928360245622015
120,782395,767392,1235,4330,楠梓,Nanzih,二等站,86,1.0195506338351195,0.9808242639587421
132,212984,216108,1403,4450,後庄,Houjhuang,簡易站,86,0.9855442649045848,1.0146677684708711
128,180767,177334,1419,4410,民族,Minzu,簡易站,86,1.0193589497783844,0.9810087018095117
103,467926,460163,1223,4150,隆田,Longtian,二等站,86,1.016870109070047,0.9834097699208849
130,316969,303896,1421,4430,正義,Zhengyi,簡易站,86,1.043018006160002,0.958756219062432
21,545260,556735,2213,1192,新莊,Xinzhuang,簡易站,86,0.9793887576674719,1.0210450060521585
20,115190,110642,2212,1191,千甲,Qianjia,簡易站,86,1.0411055476220603,0.9605174060248285
129,304874,300424,1420,4420,科工館,Science and Tecnology Museum,簡易站,86,1.0148123984768194,0.9854038061625459
